timestamp,fps,class,confidence,x,y,width,height
2026-05-29 08:32:16,0,person,0.83088,395,191,1378,884
2026-05-29 08:32:17,3,person,0.842893,384,185,1398,890
2026-05-29 08:32:17,3,person,0.870624,391,174,1385,900
2026-05-29 08:32:17,3,person,0.859352,391,171,1407,904
2026-05-29 08:32:17,4,person,0.85773,397,164,1405,910
2026-05-29 08:32:18,4,person,0.856771,415,168,1392,910
2026-05-29 08:32:18,4,person,0.864526,387,167,1420,908
2026-05-29 08:32:18,4,person,0.887606,381,155,1421,922
2026-05-29 08:32:18,4,person,0.874772,387,160,1418,916
2026-05-29 08:32:19,4,person,0.867019,421,165,1374,910
2026-05-29 08:32:19,4,person,0.809525,425,188,1351,891
2026-05-29 08:32:19,4,person,0.830413,421,204,1350,873
2026-05-29 08:32:19,4,person,0.86127,411,211,1369,868
2026-05-29 08:32:19,4,person,0.875996,413,217,1363,861
2026-05-29 08:32:20,4,person,0.862292,409,216,1368,861
2026-05-29 08:32:20,4,person,0.850648,411,202,1361,876
2026-05-29 08:32:20,4,person,0.81153,410,206,1354,871
2026-05-29 08:32:20,4,person,0.826484,419,195,1351,884
2026-05-29 08:32:21,4,person,0.818353,404,190,1364,886
2026-05-29 08:32:21,4,person,0.840652,399,188,1388,890
2026-05-29 08:32:21,4,person,0.825927,393,188,1392,891
2026-05-29 08:32:21,4,person,0.832027,386,183,1410,895
2026-05-29 08:32:22,4,person,0.841267,386,182,1412,894
2026-05-29 08:32:22,4,person,0.811607,407,182,1355,895
2026-05-29 08:32:22,4,person,0.842791,399,184,1376,893
2026-05-29 08:32:22,4,person,0.840416,392,181,1384,897
2026-05-29 08:32:22,4,person,0.839047,383,179,1404,899
2026-05-29 08:32:23,4,person,0.799984,396,187,1372,892
2026-05-29 08:32:23,4,person,0.806834,389,189,1367,890
